City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
542,Saint Anthony,US,45.0205,-93.218,65.25,66,90,5.01,overcast clouds
543,Tura,IN,25.5198,90.2201,72.88,88,4,3.67,clear sky
544,Manzhouli,CN,49.6,117.4333,37.56,63,0,4.65,clear sky
545,Assiniboia,CA,49.6334,-105.9845,65.1,28,25,16.04,scattered clouds
546,Mogadishu,SO,2.0371,45.3438,78.17,87,16,13.44,few clouds
547,Olinda,BR,-8.0089,-34.8553,80.33,78,40,5.75,scattered clouds
548,Atar,MR,20.5169,-13.0499,85.91,19,1,4.68,clear sky
549,Plettenberg Bay,ZA,-34.0527,23.3716,61.43,53,63,5.08,broken clouds
550,Sayyan,YE,15.1718,44.3244,60.17,40,78,9.89,broken clouds
551,Tiassale,CI,5.8983,-4.8283,74.39,98,99,2.08,overcast clouds
552,Florianopolis,BR,-27.6146,-48.5012,67.42,74,90,10.36,overcast clouds
553,Yashalta,RU,46.3395,42.2762,48.4,60,10,12.44,clear sky
554,Aiken,US,33.5835,-81.5998,79.09,74,1,4.61,clear sky
555,Galveston,US,29.3669,-94.9669,85.21,75,17,5.99,few clouds
556,Nampula,MZ,-15.1165,39.2666,69.01,87,1,1.83,clear sky
557,Kodinsk,RU,58.6881,99.1844,28.56,94,99,6.87,overcast clouds
558,Alta Floresta,BR,-9.8756,-56.0861,80.22,62,91,0.85,overcast clouds
559,Santa Rosa,PH,14.3122,121.1114,82.85,84,93,15.7,overcast clouds
560,Broome,US,42.2506,-75.833,65.19,80,90,3.0,overcast clouds
561,Morehead,US,37.2711,-87.1764,82.83,63,1,1.01,clear sky
562,Nizwa,OM,22.9333,57.5333,82.33,41,1,0.69,clear sky
563,Sobolevo,RU,54.4299,31.8996,37.44,76,95,4.07,overcast clouds
564,Kurri Kurri,AU,-32.8167,151.4833,56.52,95,100,8.19,light rain
565,Mitu,CO,1.1983,-70.1733,77.58,84,40,0.49,light rain
566,Maracacume,BR,-2.0428,-45.9592,77.63,83,89,5.17,overcast clouds
567,Hamilton,US,39.1834,-84.5333,79.57,69,40,1.99,scattered clouds
568,Shatrovo,RU,56.5167,64.6333,27.73,71,53,1.63,broken clouds
569,Plymouth,US,41.8334,-70.8328,62.28,93,20,6.91,few clouds
570,Watsa,CD,3.0372,29.5355,63.36,96,99,0.54,light rain
571,Erzin,TR,36.9559,36.2,71.01,38,1,2.35,clear sky
572,Vestmannaeyjar,IS,63.4427,-20.2734,42.85,71,44,13.2,scattered clouds
573,Ketchikan,US,55.3422,-131.6461,48.67,81,90,8.05,light rain
574,Gander,CA,48.9682,-54.5906,35.73,93,40,8.01,scattered clouds
575,Soderhamn,SE,61.3037,17.0592,50.04,84,100,12.08,overcast clouds
576,Mareeba,AU,-17.0,145.4333,80.47,70,16,2.53,few clouds
577,George,ZA,-33.963,22.4617,62.38,47,34,3.83,scattered clouds
578,Puerto Narino,CO,-3.7703,-70.3831,84.15,71,97,2.75,overcast clouds
579,Srednekolymsk,RU,67.45,153.6833,16.39,82,28,3.11,scattered clouds
580,Korla,CN,41.7597,86.1469,46.22,43,54,1.59,broken clouds
581,Salinopolis,BR,-0.6136,-47.3561,80.96,78,52,11.72,broken clouds
582,Almaznyy,RU,48.0448,40.045,46.54,63,8,7.67,clear sky
583,Funadhoo,MV,6.15,73.2667,82.49,79,65,19.15,broken clouds
584,Mora,CM,11.0461,14.1401,77.36,65,95,4.63,overcast clouds
585,Bosaso,SO,11.2842,49.1816,84.22,68,62,4.05,broken clouds
586,Armidale,AU,-30.5167,151.65,55.81,98,100,5.61,overcast clouds
587,Algiers,DZ,36.7525,3.042,60.62,77,0,3.44,clear sky
