City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Sanchez,DO,82.18,scattered clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
505,Balabac,PH,80.04,moderate rain,7.9868,117.0645,Sing and Swing Lodge
511,Ribeira Brava,PT,72.23,few clouds,32.65,-17.0667,Hotel do Campo
514,Tonaya,MX,82.83,scattered clouds,19.7833,-103.9667,Mayra gallardo
515,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
516,Trincomalee,LK,80.92,overcast clouds,8.5711,81.2335,Welcombe Hotel
517,Nokha,IN,81.61,clear sky,27.6,73.4167,gu khana
519,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
525,Fayaoue,NC,74.32,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
527,Benghazi,LY,78.48,few clouds,32.1167,20.0667,Tibesti Hotel
529,Serenje,ZM,72.36,clear sky,-13.2325,30.2352,The Kabaso's
534,Sorong,ID,79.2,overcast clouds,-0.8833,131.25,waigo splash hotel
537,Gizo,SB,83.55,broken clouds,-8.103,156.8419,Imagination Island
538,Springdale,US,82.13,scattered clouds,36.1867,-94.1288,Springdale Inn
539,Kota Kinabalu,MY,80.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
541,Coxim,BR,72.21,broken clouds,-18.5067,-54.76,Hotel Avenida
543,Tura,IN,72.88,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
546,Mogadishu,SO,78.17,few clouds,2.0371,45.3438,Hotel Juba
547,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
551,Tiassale,CI,74.39,overcast clouds,5.8983,-4.8283,Hotel des hotes
554,Aiken,US,79.09,clear sky,33.5835,-81.5998,Aiken Cottages
558,Alta Floresta,BR,80.22,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
559,Santa Rosa,PH,82.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
561,Morehead,US,82.83,clear sky,37.2711,-87.1764,CCI Express Inn
562,Nizwa,OM,82.33,clear sky,22.9333,57.5333,Orient Apartments
566,Maracacume,BR,77.63,overcast clouds,-2.0428,-45.9592,Hotel Ramos
567,Hamilton,US,79.57,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
571,Erzin,TR,71.01,clear sky,36.9559,36.2,Artemis Otel
576,Mareeba,AU,80.47,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
578,Puerto Narino,CO,84.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
581,Salinopolis,BR,80.96,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
583,Funadhoo,MV,82.49,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
584,Mora,CM,77.36,overcast clouds,11.0461,14.1401,Hotel Emergence
585,Bosaso,SO,84.22,broken clouds,11.2842,49.1816,Red Sea Hotel
592,Kiunga,PG,76.64,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
593,Mayo,US,70.56,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
595,Kupang,ID,79.79,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
598,Ambunti,PG,79.39,overcast clouds,-4.2365,142.8448,Ambunti Lodge
601,Lafia,NG,74.52,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
603,Moultrie,US,77.83,clear sky,31.1799,-83.7891,Moultrie Inn
604,Pacific Grove,US,81.57,clear sky,36.6177,-121.9166,Lovers Point Inn
606,Shenjiamen,CN,77.72,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
609,Sesimbra,PT,72.55,overcast clouds,38.4445,-9.1015,Sana Sesimbra
610,Bilma,NE,83.48,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
614,Colonial Heights,US,72.9,scattered clouds,37.268,-77.4073,Hilton Garden Inn Richmond South/Southpark
616,Nishihara,JP,83.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
623,Siparia,TT,83.07,overcast clouds,10.1333,-61.5,Brook Gardens
624,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
626,Itarema,BR,79.39,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
627,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
630,Buala,SB,84.6,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
632,Santa Cruz Del Norte,CU,83.01,light rain,23.1539,-81.9236,Felipon Pon Pon
635,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
639,Santa Marta,CO,81.34,overcast clouds,11.2408,-74.199,Casa de Isabella
640,Hajiganj,BD,77.61,few clouds,23.2511,90.8592,Hotel Kohinoor
641,Takoradi,GH,76.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
646,Pio Xii,BR,80.46,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
647,Maragogi,BR,76.46,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
649,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
650,Kavaratti,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
653,Shwebo,MM,77.07,scattered clouds,22.5667,95.7,MOON SHINE Guest House
